Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 02:01:10,2024-01-14 02:01:11,0.722s,PASSED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:01:11,2024-01-14 02:01:22,10.895s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:01:11,2024-01-14 02:01:13,1.716s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:01:13,2024-01-14 02:01:18,4.649s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:01:18,2024-01-14 02:01:18,0.752s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:01:18,2024-01-14 02:01:19,0.399s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:01:19,2024-01-14 02:01:20,1.534s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:01:20,2024-01-14 02:01:21,1.141s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:01:21,2024-01-14 02:01:21,0.014s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:01:21,2024-01-14 02:01:21,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:01:21,2024-01-14 02:01:22,0.673s,FAILED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:01:22,2024-01-14 02:01:44,22.026s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:01:22,2024-01-14 02:01:24,2.327s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:01:24,2024-01-14 02:01:29,4.229s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:01:29,2024-01-14 02:01:29,0.739s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:01:29,2024-01-14 02:01:30,0.401s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:01:30,2024-01-14 02:01:31,1.395s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:01:31,2024-01-14 02:01:32,1.088s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:01:32,2024-01-14 02:01:32,0.011s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:01:32,2024-01-14 02:01:32,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:01:32,2024-01-14 02:01:43,11.151s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 02:01:43,2024-01-14 02:01:44,0.673s,PASSED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:01:44,2024-01-14 02:02:06,21.489s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:01:44,2024-01-14 02:01:46,1.617s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:01:46,2024-01-14 02:01:50,3.878s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:01:50,2024-01-14 02:01:50,0.670s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:01:50,2024-01-14 02:01:51,0.452s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:01:51,2024-01-14 02:01:52,1.450s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:01:52,2024-01-14 02:01:53,1.141s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:01:53,2024-01-14 02:01:53,0.016s,PASSED
